Feature,Importance
alcohol_sulphates,0.15646912505212876
feat08,0.11458435863628127
feat03,0.07722143266068217
acidity_ratio,0.036984613341281336
feat06,0.03657161612370789
feat09,0.03507784026536526
feat10,0.034576418746641996
so2_ratio,0.0338898537239532
volatile acidity,0.033756536722933494
feat02,0.03234385109732279
feat05,0.030453223359204976
density,0.030098173098909612
feat01,0.02807333571529159
alcohol_sugar_ratio,0.0230200303991507
citric_volatile_acidity,0.022261540754502346
citric acid,0.02068402850339024
sulphates_sqrt,0.019475121195895232
chlorides_density_ratio,0.01903877636326107
sulphates,0.019007082967384684
free_total_sulfur,0.01834272005119648
total_acidity,0.017994006726184713
total sulfur dioxide,0.017764102846292415
alcohol_residual_sugar,0.017468598761194186
free sulfur dioxide,0.015468808515560224
fixed acidity,0.01406712750790063
sugar_density_ratio,0.013086543860510457
pH_squared,0.012904131895057363
chlorides_log,0.011615937534814158
pH,0.011033949417516772
chlorides,0.010576493612721685
alcohol,0.008939364558103766
alcohol_squared,0.007255072026120433
residual_sugar_log,0.0043809219128607005
residual sugar,0.003648309145090624
residual_sugar_squared,0.0035626301492946693
pH_bin_medium_True,0.0021946873498769532
alcohol_bin_medium_True,0.002165122916500738
alcohol_bin_high_True,0.0011913436042359845
pH_bin_low_True,0.0009883726067093745
wine_cluster,0.0009067521788771137
alcohol_bin_very high_True,0.00033763990251694744
sugar_bin_medium_True,0.0002768270226722124
is_high_alcohol,0.00022796105468512779
sugar_bin_sweet_True,1.5616116217709492e-05
