Feature,Importance
alcohol_sulphates,0.2192099293135897
feat08,0.14836974000096767
feat03,0.09454117538885445
acidity_ratio,0.0394027183941583
volatile acidity,0.03570796742833349
feat06,0.03155515766357921
so2_ratio,0.030329671646609532
feat02,0.02621224404276508
feat09,0.026172879783969292
feat10,0.02526263973723434
density,0.02484966716045065
feat05,0.023916593143388443
citric acid,0.021050314687670834
citric_volatile_acidity,0.019767483754210204
sulphates_sqrt,0.018678953117854273
feat01,0.018352971757291236
alcohol_sugar_ratio,0.018297804276654853
sulphates,0.017305107775612283
chlorides_density_ratio,0.01677307962541775
alcohol_residual_sugar,0.015578249578732389
total sulfur dioxide,0.01403770418422133
total_acidity,0.013391188749605073
free_total_sulfur,0.013350462155646881
fixed acidity,0.012465157980528399
free sulfur dioxide,0.010612006348928395
pH_squared,0.00954398671788862
sugar_density_ratio,0.00909006935011247
chlorides_log,0.008434373136113196
pH,0.008373778049181466
chlorides,0.008360480853595571
alcohol,0.0049343311594209575
alcohol_squared,0.004737853970000274
residual_sugar_squared,0.0022855893322441213
residual sugar,0.0019155207280558695
residual_sugar_log,0.0018473711994622043
pH_bin_medium_True,0.0016175929146919703
alcohol_bin_medium_True,0.0014533933257342459
alcohol_bin_high_True,0.0008153962720122352
sugar_bin_medium_True,0.0004168262438958417
wine_cluster,0.0004015598963935861
pH_bin_low_True,0.00026663022594686144
is_high_alcohol,0.00016819991512446962
alcohol_bin_very high_True,0.00014617901385195073
sugar_bin_sweet_True,0.0
